section_order,section_name,section_id,item,type,version,description,source_file
1,개발 도구 & 인프라 (Dev Tools & Infra),60e08b5912a0426c8a3585b8b6bed367,DBeaver / DataGrip,DB Tool,최신 안정 버전(권장),"PostgreSQL/pgvector 스키마/쿼리 확인, 인덱스 및 성능 점검.
- 참고 요구사항: KB-001,KB-002,KB-003, ADM-001,ADM-002,ADM-003,ADM-004, OPS-002 [Phase:PHASE1] [필수여부:필수(RAG 검색)]",1 개발 도구 & 인프라 (Dev Tools & Infra) 60e08b5912a0426c8a3585b8b6bed367_all.csv
1,개발 도구 & 인프라 (Dev Tools & Infra),60e08b5912a0426c8a3585b8b6bed367,Docker + Docker Compose,Web Server,최신 안정 버전(권장),"로컬 개발 통합 스택 구성(예: PostgreSQL, Redis(선택), Elasticsearch/OpenSearch(선택), Ollama).
- 참고 요구사항: KB-002,KB-003, LLM-001, OPS-001",1 개발 도구 & 인프라 (Dev Tools & Infra) 60e08b5912a0426c8a3585b8b6bed367_all.csv
1,개발 도구 & 인프라 (Dev Tools & Infra),60e08b5912a0426c8a3585b8b6bed367,Nginx (선택),Web Server,1.24+(선택),"Reverse Proxy, HTTPS Termination, 정적 파일 서빙, SSE/WebSocket 프록시.
- 참고 요구사항: UI-001",1 개발 도구 & 인프라 (Dev Tools & Infra) 60e08b5912a0426c8a3585b8b6bed367_all.csv
1,개발 도구 & 인프라 (Dev Tools & Infra),60e08b5912a0426c8a3585b8b6bed367,PostgreSQL + pgvector,Database,PostgreSQL 16+ / pgvector(선택),"업무 데이터 저장 + 벡터 저장소(지식베이스 임베딩/검색).
- 참고 요구사항: KB-001,KB-002,KB-003, OPS-002 [Phase:PHASE1] [필수여부:필수(RAG 검색)]",1 개발 도구 & 인프라 (Dev Tools & Infra) 60e08b5912a0426c8a3585b8b6bed367_all.csv
1,개발 도구 & 인프라 (Dev Tools & Infra),60e08b5912a0426c8a3585b8b6bed367,Postman / Insomnia,IDE,최신 안정 버전(권장),"JWT 인증/권한, RAG/템플릿 추천 API, 관리자 API 테스트.
- 참고 요구사항: SEC-001,SEC-002, RAG-001, TMP-001, TOOL-003",1 개발 도구 & 인프라 (Dev Tools & Infra) 60e08b5912a0426c8a3585b8b6bed367_all.csv
1,개발 도구 & 인프라 (Dev Tools & Infra),60e08b5912a0426c8a3585b8b6bed367,Redis,Cache DB,7.x (운영 Prod 필수 / 개발용 선택),"세션/semantic cache/승인 답변 캐시/rate-limit 카운터 저장소. 운영(Prod) 필수, 로컬 개발은 선택 적용.
- 참고 요구사항: CCH-001, CCH-002, SEC-004, LLM-003
- cache key 네임스페이스/TTL/무효화 정책 필수",1 개발 도구 & 인프라 (Dev Tools & Infra) 60e08b5912a0426c8a3585b8b6bed367_all.csv
1,개발 도구 & 인프라 (Dev Tools & Infra),60e08b5912a0426c8a3585b8b6bed367,Spring Tool Suite (STS),IDE,sts-4.32.0.RELEASE,"Spring Boot(Java 17) 백엔드 개발 IDE(Eclipse 기반).
- 참고 요구사항: SEC-001,SEC-002,SEC-003, RAG-001,RAG-002,RAG-003, TOOL-001,TOOL-002,TOOL-003, ADM-001,ADM-002,ADM-003,ADM-004,ADM-005,ADM-006, OPS-001,OPS-002",1 개발 도구 & 인프라 (Dev Tools & Infra) 60e08b5912a0426c8a3585b8b6bed367_all.csv
1,개발 도구 & 인프라 (Dev Tools & Infra),60e08b5912a0426c8a3585b8b6bed367,Vault / Cloud KMS,Security,선택,"외부 API 시크릿키 암호화 저장/회전 및 접근 감사(Audit) 로그.
- 참고 요구사항: ADM-005, OPS-001 [Phase:PHASE1] [필수여부:운영필수/로컬선택]",1 개발 도구 & 인프라 (Dev Tools & Infra) 60e08b5912a0426c8a3585b8b6bed367_all.csv
1,개발 도구 & 인프라 (Dev Tools & Infra),60e08b5912a0426c8a3585b8b6bed367,Visual Studio Code,IDE,최신 안정 버전(권장),"React 프론트엔드 개발, 디버깅, 코드 포맷/린트.
- 참고 요구사항: UI-001,UI-002,UI-003,UI-004, SYS-001, SEC-002",1 개발 도구 & 인프라 (Dev Tools & Infra) 60e08b5912a0426c8a3585b8b6bed367_all.csv
2,백엔드 & 분석 (Backend & Analytics),08121b350dd946b0beb5685e53b5d327,Elasticsearch/OpenSearch Client ,"API Lib, Network",선택,"하이브리드 검색(BM25) 및 필터링 구현 시 연동.
- 참고 요구사항: KB-003",2 백엔드 & 분석 (Backend & Analytics) 08121b350dd946b0beb5685e53b5d327_all.csv
